,Name,Race,Class_1,Subclass_1,Class_level_1,Class_2,Subclass_2,Class_level_2,Num_of_classes,Total_lvl,Alignment,Skills,Feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,Spellcaster,Num_of_spells
13,boring_perlman,Aasimar,Cleric,Tempest Domain,20,,,,1,20,,History; Religion; Insight; Persuasion,Elemental Adept; War Caster; Martial Adept,143,14,15,15,15,14,20,16,True,10
14,silly_lamarr,Dwarf,Cleric,Light Domain,20,,,,1,20,,History; Religion; Insight; Medicine,War Caster; Heavily Armored; Tough,270,23,13,14,18,8,18,8,True,11
15,competent_noether,Goliath,Monk,Way of the Open Hand,20,,,,1,20,,Athletics; Acrobatics; Stealth; Persuasion,,153,18,14,19,14,10,19,10,False,0
16,adoring_euler,Dwarf,Cleric,Light Domain,20,,,,1,20,,History; Religion; Insight; Medicine,War Caster; Dwarven Fortitude; Tough,300,12,14,10,19,10,18,8,True,11
17,condescending_engelbart,Leonin,Paladin,Oath of Conquest,20,,,,1,20,,Athletics; History; Insight; Perception; Persuasion,War Caster; Resilient; Sentinel,204,19,18,18,18,12,12,16,True,10
18,frosty_jang,Human,Cleric,Death Domain,20,,,,1,20,,Arcana; History; Religion; Medicine; Persuasion,War Caster,120,17,10,12,12,14,20,16,True,10
19,hopeful_mccarthy,Dwarf,Fighter,Samurai,20,,,,1,20,,Athletics; Animal Handling; Insight; Survival; Intimidation,Tough; Durable; Weapon Master,284,16,21,15,21,8,9,8,False,0
20,cool_mestorf,Halfling,Rogue,Assassin,20,,,,1,20,,Athletics; Acrobatics; Sleight of Hand; Stealth; Perception; Deception,Skulker; Savage Attacker,203,16,8,20,20,8,15,9,False,0
21,awesome_noyce,Half-Orc,Barbarian,Path of the Berserker,20,,,,1,20,,Athletics; Nature; Animal Handling; Survival; Intimidation,Tough; Mobile,305,20,22,18,22,8,8,8,False,0
22,happy_galois,Tiefling,Monk,Way of the Long Death,20,,,,1,20,,Athletics; Acrobatics; Religion; Insight,Mage Slayer,166,18,8,20,16,9,17,10,False,0
23,unruffled_dewdney,Elf,Monk,Way of the Sun Soul,20,,,,1,20,,Athletics; Acrobatics; Religion; Insight; Perception,,163,20,8,20,17,9,20,8,False,0
24,friendly_elion,Half-Elf,Barbarian,Path of the Storm Herald,20,,,,1,20,,Nature; Insight; Perception; Survival; Intimidation; Persuasion,Alert; Elven Accuracy,274,21,24,18,24,10,13,11,False,0
25,stoic_poincare,Half-Orc,Cleric,Forge Domain,20,,,,1,20,,History; Insight; Medicine; Intimidation; Persuasion,Heavy Armor Master,186,21,20,10,18,12,20,9,True,10
26,confident_blackburn,Human,Paladin,Oath of Conquest,20,,,,1,20,LN,Athletics; Insight; Intimidation; Persuasion,,271,20,29,20,20,18,16,20,True,14
27,zen_leavitt,Dwarf,Sorcerer,Draconic Bloodline,20,,,,1,20,,Arcana; Religion; Medicine; Persuasion,,202,24,12,12,20,10,11,20,True,21
28,priceless_fermi,Halfling,Warlock,The Celestial,20,,,,1,20,,Arcana; Nature; Animal Handling; Survival; Deception; Persuasion,Lucky; Observant; War Caster,200,14,12,14,14,13,16,20,True,2
29,confident_perlman,Half-Elf,Paladin,Oath of Devotion,20,,,,1,20,,History; Religion; Intimidation; Persuasion,Polearm Master; Tough,300,19,20,14,16,12,11,18,True,11
30,bold_mccarthy,Human,Wizard,School of Evocation,20,,,,1,20,,Arcana; History; Investigation; Religion; Perception,Elemental Adept; Spell Sniper,141,23,8,18,19,20,12,8,True,44
31,stoic_ramanujan,Kenku,Warlock,The Great Old One,20,,,,1,20,,Stealth; Arcana; History; Religion; Insight; Deception,Actor; War Caster,220,16,12,20,16,14,14,21,False,0
32,sad_cannon,Loxodon,Cleric,Life Domain,20,,,,1,20,,History; Religion; Insight; Persuasion,War Caster; Lucky; Shield Master,243,18,22,17,24,21,27,18,True,10
33,goofy_stallman,Halfling,Cleric,Life Domain,20,,,,1,20,,History; Religion; Insight; Medicine,War Caster,223,18,22,20,22,21,26,20,True,10
34,dazzling_ride,Aasimar,Sorcerer,Storm Sorcery,20,,,,1,20,LG,Religion; Insight; Perception; Intimidation,,138,10,8,10,16,10,12,20,False,0
35,silly_heisenberg,Gnome,Wizard,School of Illusion,20,,,,1,20,,Arcana; History; Investigation; Insight; Perception; Deception,Tough; Mage Slayer; War Caster,182,12,8,14,18,24,11,17,True,56
36,dreamy_ramanujan,Genasi,Druid,Circle of the Moon,20,,,,1,20,,Nature; Religion; Animal Handling; Medicine,,203,14,15,17,20,18,20,14,False,0
37,sharp_wozniak,Kenku,Cleric,Life Domain,20,,,,1,20,,Acrobatics; Sleight of Hand; Religion; Insight; Medicine; Persuasion,Healer; Linguist,180,18,11,11,16,14,16,11,True,10
38,gallant_shtern,Triton,Warlock,The Great Old One,20,,,,1,20,,Arcana; Investigation; Religion; Survival,Spell Sniper,206,14,20,18,20,10,12,20,False,0
39,nervous_gagarin,Triton,Monk,Way of the Kensei,20,,,,1,20,,Athletics; Acrobatics; Stealth; Persuasion,,157,19,20,20,15,11,18,13,False,0
40,boring_thompson,Goliath,Paladin,Oath of Conquest,20,,,,1,20,,Athletics; History; Persuasion,,279,20,29,18,24,18,18,20,True,10
41,reverent_keldysh,Human,Barbarian,Path of the Storm Herald,20,,,,1,20,,Athletics; Animal Handling; Perception; Survival,Polearm Master; Tough,301,22,24,17,24,13,16,12,False,0
42,lucid_zhukovsky,Half-Orc,Warlock,The Great Old One,20,,,,1,20,,Athletics; Arcana; Investigation; Perception; Deception; Intimidation; Persuasion,War Caster; Actor; Observant,202,13,20,13,18,14,15,17,True,53
43,vibrant_wu,Triton,Warlock,The Great Old One,20,,,,1,20,,Sleight of Hand; Arcana; Religion; Deception,Spell Sniper,209,13,10,17,20,10,11,20,False,0
44,frosty_beaver,Half-Elf,Paladin,Oath of Vengeance,20,,,,1,20,CN,Athletics; Arcana; Religion; Insight; Persuasion,,255,24,20,14,20,14,15,20,True,24
45,flamboyant_mayer,Tiefling,Paladin,OathBreaker,20,,,,1,20,,Athletics; Religion; Insight; Intimidation,,225,19,18,15,16,16,8,12,True,10
46,quirky_heyrovsky,Human,Cleric,Knowledge Domain,20,,,,1,20,,Athletics; Arcana; History; Nature; Religion; Animal Handling; Insight; Survival; Performance,Alert; Observant; Keen Mind; Skilled; War Caster,303,32,16,18,30,23,46,32,True,53
47,laughing_tharp,Dragonborn,Fighter,Champion,20,,,,1,20,,Athletics; History; Nature; Perception; Survival; Persuasion,Grappler; Alert; Mobile; Dragon Hide; Tavern Brawler; Observant; Tough,444,37,30,30,38,21,20,20,False,0
48,thirsty_knuth,Dragonborn,Monk,Way of the Sun Soul,20,,,,1,20,,Athletics; Acrobatics; Stealth; Survival,Dragon Fear,200,20,10,20,15,10,20,14,False,0
49,peaceful_merkle,Human,Wizard,School of Necromancy,20,,,,1,20,,History; Investigation; Religion; Perception; Deception; Intimidation; Persuasion,Lucky; Tough; Magic Initiate; Skilled; Keen Mind,260,20,21,21,21,22,21,21,True,8
50,condescending_sinoussi,Gnome,Monk,Way of the Drunken Master,20,,,,1,20,CG,Athletics; Acrobatics; Insight; Deception; Performance,Resilient; Grappler,125,16,15,20,12,10,12,13,False,0
51,goofy_ptolemy,Half-Elf,Paladin,OathBreaker,20,,,,1,20,CG,Athletics; Arcana; Religion; Survival; Performance; Persuasion,Dual Wielder; Shield Master,163,16,14,15,15,11,8,19,True,12
52,nervous_swartz,Tiefling,Cleric,Trickery Domain,20,,,,1,20,NG,Sleight of Hand; Religion; Insight; Deception,Healer,103,13,10,12,10,14,19,18,True,16
53,practical_jackson,Firbolg,Ranger,Beast Master,20,,,,1,20,CG,Stealth; Nature; Animal Handling; Insight; Survival,,124,16,16,19,11,12,18,9,True,3
54,jolly_chebyshev,Half-Orc,Bard,College of Glamour,20,,,,1,20,LG,Athletics; Acrobatics; History; Intimidation; Performance; Persuasion,Actor,123,12,16,12,13,10,13,20,True,11
55,recursing_wilson,Half-Orc,Fighter,Eldritch Knight,20,,,,1,20,NG,Athletics; History; Perception; Intimidation; Persuasion,Mobile; Tough,224,14,20,14,16,12,14,9,True,5
56,gifted_goldwasser,Dragonborn,Druid,Circle of Dreams,20,,,,1,20,NG,Nature; Insight; Perception; Survival,Observant; Dragon Hide,143,14,14,15,15,8,20,11,True,17
57,festive_chandrasekhar,Human,Rogue,Thief,20,,,,1,20,,Sleight of Hand; Stealth; Investigation; Deception; Intimidation; Persuasion,Actor; Lucky,143,14,14,19,14,10,10,14,False,0
58,angry_sanderson,Human,Fighter,Mandalorian,20,,,,1,20,,Stealth; Insight; Perception; Survival; Intimidation,Sharpshooter; Medium Armor Master; Tough,280,17,8,20,14,12,12,18,False,0
59,hardcore_elgamal,Human,Rogue,Assassin,20,,,,1,20,,Sleight of Hand; Stealth; Insight; Deception; Intimidation; Persuasion,Alert; Linguist; Lucky,144,15,10,20,14,16,11,20,False,0
60,gracious_gagarin,Elf,Cleric,Life Domain,20,,,,1,20,CG,Athletics; Religion; Insight; Perception; Survival,Magic Initiate; War Caster,123,18,10,12,12,12,20,15,True,46
61,awesome_brown,Human,Fighter,Champion,20,,,,1,20,,History; Animal Handling; Perception; Survival,Defensive Duelist,224,15,16,20,20,11,13,10,False,0
62,boring_goldwasser,Human,Wizard,School of Divination,20,,,,1,20,,Arcana; History; Investigation; Religion; Perception,War Caster,182,11,8,12,20,20,14,10,False,0
63,youthful_stonebraker,Orc,Fighter,Champion,20,,,,1,20,,Athletics; Insight; Perception; Intimidation,Polearm Master; Sentinel,228,19,20,15,20,6,12,10,False,0
64,frosty_ptolemy,Orc,Paladin,Oath of Conquest,20,,,,1,20,,Athletics; History; Insight; Intimidation; Persuasion,Great Weapon Master; Sentinel,224,20,20,13,20,10,12,14,True,10
65,boring_black,Dragonborn,Paladin,Oath of Conquest,20,,,,1,20,,Athletics; Religion; Intimidation; Persuasion,Tough,224,18,20,8,16,8,8,20,True,10
66,sharp_almeida,Aarakocra,Barbarian,Path of the Battlerager,20,,,,1,20,,Nature; Religion; Insight; Intimidation,Tough; Grappler; Polearm Master; Sentinel,1105,66,103,101,103,99,100,99,False,0
67,fervent_mendel,Minotaur,Wizard,School of Evocation,20,,,,1,20,,Arcana; History; Investigation; Medicine; Persuasion,War Caster,182,12,14,14,20,20,14,13,False,0
68,vibrant_shockley,Orc,Barbarian,Path of the Storm Herald,20,,,,1,20,,Sleight of Hand; Stealth; Intimidation,,285,22,24,20,24,8,16,12,False,0
69,focused_brahmagupta,Human,Druid,Circle of Spores,20,,,,1,20,,Athletics; Nature; Animal Handling; Insight; Perception,Elemental Adept,195,17,8,18,18,12,20,8,True,9
70,eloquent_matsumoto,Human,Wizard,School of Enchantment,20,,,,1,20,,Arcana; History; Insight; Persuasion,War Caster; Spell Sniper; Resilient,200,14,13,19,19,21,15,20,True,15
71,sad_agnesi,Human,Wizard,School of Necromancy,20,,,,1,20,,Arcana; History; Investigation; Insight,Keen Mind; War Caster; Spell Sniper; Actor; Magic Initiate,174,13,14,17,21,26,22,22,True,1
72,relaxed_austin,Eladrin,Sorcerer,Wild Magic,20,,,,1,20,,Religion; Insight; Perception; Deception; Persuasion,Magic Initiate; Elven Accuracy,81,14,8,18,10,14,12,20,True,14
73,confident_fermat,Eladrin,Fighter,Battle Master,20,,,,1,20,,Athletics; Acrobatics; History; Perception; Persuasion,,189,16,20,20,18,10,8,13,False,0
74,recursing_mclean,Human,Wizard,School of Necromancy,20,,,,1,20,,Arcana; History; Investigation; Medicine,,115,11,12,13,14,22,20,20,True,2
75,focused_noether,Dwarf,Fighter,Battle Master,20,,,,1,20,CG,Athletics; Insight; Perception; Persuasion,,284,23,20,20,20,10,10,6,False,0
76,thirsty_bassi,Goliath,Fighter,Champion,20,,,,1,20,CG,Athletics; Animal Handling; Perception; Survival,Great Weapon Master; Tough; Mobile,264,22,20,12,20,8,14,10,False,0
77,nervous_engelbart,Goliath,Barbarian,Path of the Berserker,20,,,,1,20,,Athletics; Nature; Survival; Intimidation,,359,18,22,16,20,14,14,14,False,0
78,charming_jones,Tiefling,Rogue,Assassin,20,,,,1,20,,Acrobatics; Sleight of Hand; Stealth; Investigation; Perception; Deception,Crossbow Expert; Dual Wielder; Sharpshooter; Flames of Phlegethos,139,15,14,17,13,11,10,15,False,0
79,thirsty_mclaren,Elf,Wizard,School of Necromancy,20,,,,1,20,,Arcana; History; Investigation; Religion; Perception,Lucky; Elven Accuracy; Magic Initiate,92,10,8,11,11,14,14,12,True,1
80,optimistic_haslett,Human,Monk,Way of the Open Hand,20,,,,1,20,,Athletics; Acrobatics; Religion; Intimidation,Mobile; Lucky; Defensive Duelist,189,12,16,15,16,13,11,11,False,0
81,vibrant_ride,Halfling,Cleric,Knowledge Domain,20,,,,1,20,,Arcana; History; Nature; Religion; Insight; Persuasion,Lucky; Second Chance; Magic Initiate; Observant,166,16,5,8,16,12,15,15,True,10
82,eager_mclean,Dwarf,Paladin,Oath of Vengeance,20,,,,1,20,,Athletics; Religion; Medicine; Intimidation,Lucky; Dwarven Fortitude; Sentinel,220,16,18,10,17,13,12,10,True,10
83,recursing_shirley,Human,Sorcerer,Draconic Bloodline,20,,,,1,20,,Arcana; Religion; Medicine; Persuasion,Magic Initiate; Mage Slayer; Lucky,156,13,13,9,15,11,12,16,False,0
84,compassionate_lumiere,Human,Monk,Way of the Long Death,20,,,,1,20,,Acrobatics; Sleight of Hand; Stealth; Insight; Perception; Persuasion,Observant; Magic Initiate; Prodigy; Ritual Caster; Alert,160,18,8,17,10,12,16,14,False,0
85,heuristic_chaplygin,Half-Orc,Barbarian,Path of the Berserker,20,,,,1,20,,Athletics; Religion; Medicine; Perception; Intimidation,Resilient,285,19,24,14,24,10,12,8,False,0
86,objective_blackwell,,Wizard,School of Necromancy,20,,,,1,20,,Athletics; Arcana; Investigation; Perception; Survival,,92,18,9,14,15,21,21,0,True,1
87,pensive_jones,Human,Paladin,Oath of Devotion,20,,,,1,20,,Athletics; Religion; Intimidation; Persuasion,Martial Adept; Mage Slayer; War Caster; Savage Attacker; Sentinel,248,19,21,13,21,11,15,19,True,10
88,youthful_cocks,Elf,Druid,Circle of the Land,20,,,,1,20,,Arcana; Religion; Animal Handling; Medicine; Perception,Elven Accuracy,143,15,10,14,14,18,20,10,True,8
89,upbeat_moore,Goliath,Barbarian,Path of the Berserker,20,,,,1,20,,Athletics; Insight; Perception; Survival; Intimidation,Alert; Mobile; Great Weapon Master; Observant; Resilient,245,17,30,14,20,11,8,12,False,0
90,optimistic_cray,Gnome,Wizard,School of Necromancy,20,,,,1,20,,Arcana; History; Religion; Medicine,,154,14,8,18,19,20,18,8,True,1
91,vigorous_noyce,Elf,Druid,Circle of the Moon,20,,,,1,20,,Arcana; Nature; Religion; Medicine; Perception,War Caster; Sentinel; Alert,103,14,8,12,10,14,20,14,False,0
92,focused_mclean,,Mystic,Order of the Immortal,20,,,,1,20,,Arcana; Religion; Insight; Perception,,163,15,19,17,14,20,8,8,False,0
93,gallant_goldwasser,Human,Cleric,War Domain,20,,,,1,20,,Religion; Animal Handling; Insight; Survival,,203,24,20,16,20,12,20,15,True,10
94,blissful_bose,Human,Monk,Way of the Four Elements,20,,,,1,20,,Acrobatics; History; Religion; Insight; Medicine,Mobile; Observant,200,20,13,20,15,12,21,11,False,0
95,jovial_kapitsa,Gnome,Warlock,The Celestial,20,,,,1,20,,Sleight of Hand; Stealth; History; Religion; Insight; Perception; Deception; Performance; Persuasion,,260,15,18,18,20,22,24,20,True,40
96,pedantic_stallman,Tiefling,Paladin,Oath of Ancients,20,,,,1,20,,Athletics; History; Intimidation; Persuasion,Tough; Lucky,280,20,20,12,14,12,12,20,True,10
97,sharp_stallman,Tiefling,Warlock,The Hexblade,20,,,,1,20,,Sleight of Hand; Investigation; Deception; Intimidation,Heavily Armored,260,18,8,10,20,12,14,20,False,0
98,friendly_ritchie,Dragonborn,Barbarian,Path of the Totem Warrior,20,,,,1,20,,Religion; Medicine; Survival; Intimidation,,285,20,24,16,24,12,12,12,False,0
99,vibrant_chatelet,Half-Elf,Sorcerer,Draconic Bloodline,20,,,,1,20,,Arcana; Insight; Perception; Deception; Intimidation; Persuasion,Actor; Alert; Spell Sniper; Elven Accuracy; Elemental Adept,182,17,14,18,18,15,18,24,False,0
100,dreamy_feynman,,Cleric,Death Domain,19,,,,1,19,LN,Insight; Medicine; Survival; Persuasion,War Caster; Spell Sniper; Ritual Caster; Sentinel; Mounted Combatant,224,24,14,16,14,8,20,10,True,68
101,dazzling_bardeen,Human,Fighter,Champion,19,,,,1,19,,Athletics; Acrobatics; Perception; Intimidation,,213,19,19,17,20,9,10,12,False,0
102,recursing_turing,Human,Warlock,The Undying,19,,,,1,19,,Arcana; Investigation; Survival; Deception; Intimidation,Inspiring Leader; War Caster; Lucky; Tough; Defensive Duelist,285,17,18,18,20,18,18,20,True,1
103,infallible_cray,Dragonborn,Monk,Way of the Sun Soul,19,,,,1,19,,Acrobatics; Stealth; Insight; Perception,,190,20,14,20,14,14,20,16,False,0
104,loving_mclean,Dwarf,Paladin,Oath of Ancients,19,,,,1,19,,Religion; Insight; Medicine; Perception; Deception; Intimidation; Persuasion,War Caster; Skilled; Resilient,266,21,20,14,19,8,12,18,True,10
105,relaxed_driscoll,Dwarf,Fighter,Champion,18,,,,1,18,,Athletics; Acrobatics; Insight; Intimidation,Great Weapon Master; Chef,202,20,20,10,20,10,14,10,False,0
106,crazy_mahavira,Human,Fighter,Champion,18,,,,1,18,,Athletics; Acrobatics; Insight; Perception; Intimidation,Crossbow Expert; Alert; Resilient; Sharpshooter,186,16,20,14,18,10,12,10,False,0
107,affectionate_zhukovsky,Elf,Sorcerer,Wild Magic,18,,,,1,18,,Insight; Deception; Intimidation; Persuasion,Healer; Inspiring Leader; Mounted Combatant; Lucky,71,10,3,8,11,10,10,15,True,24
108,upbeat_jennings,Half-Elf,Warlock,The Hexblade,18,,,,1,18,CN,Arcana; Investigation; Religion; Medicine; Perception; Survival; Deception; Persuasion,Elven Accuracy; War Caster; Mage Slayer; Shield Master,216,19,10,14,18,11,13,20,True,21
109,sweet_kapitsa,Human,Druid,Circle of the Moon,18,,,,1,18,,Sleight of Hand; Nature; Animal Handling; Deception,,195,17,12,18,16,11,20,12,True,28
110,hopeful_johnson,Human,Wizard,School of Necromancy,18,,,,1,18,,History; Persuasion,War Caster,146,13,12,16,18,16,20,19,True,1
111,loving_galileo,Gith,Fighter,Eldritch Knight,18,,,,1,18,,Athletics; History; Perception; Intimidation; Persuasion,Resilient; Linguist; War Caster; Mage Slayer,232,22,22,14,20,18,16,14,True,15
112,hardcore_shockley,Eladrin,Ranger,Hunter,18,,,,1,18,CG,Nature; Religion; Animal Handling; Perception; Survival,,20,16,13,18,10,12,14,16,False,0
113,epic_mclaren,Centaur,Barbarian,Path of the Storm Herald,18,,,,1,18,,Athletics; Nature; Survival; Intimidation,,217,16,20,16,18,13,13,12,False,0
114,loving_varahamihira,Gnome,Wizard,School of Illusion,18,,,,1,18,,Sleight of Hand; Stealth; Arcana; Insight,Resilient; War Caster,114,17,8,18,15,20,11,11,True,29
115,pensive_curran,Yaun-Ti,Bard,College of Glamour,18,,,,1,18,,Acrobatics; History; Insight; Deception; Performance,,170,15,11,18,16,12,10,20,False,0
116,affectionate_northcutt,Yaun-Ti,Warlock,The Hexblade,18,,,,1,18,,Stealth; Arcana; Deception; Intimidation; Persuasion,War Caster; Ritual Caster,129,15,14,14,14,16,10,20,True,1
117,pensive_tesla,Half-Elf,Mystic,Order of the Awakened,18,,,,1,18,,Arcana; History; Investigation; Nature; Insight; Perception; Deception; Performance; Persuasion,Prodigy,129,11,8,10,14,19,20,20,False,0
118,jolly_clarke,Half-Elf,Artificer,Gunsmith,18,,,,1,18,,Sleight of Hand; Arcana; History; Investigation; Insight,Linguist; Keen Mind; Sharpshooter,129,15,8,12,14,22,17,20,True,3
119,elegant_lichterman,Aarakocra,Ranger,Hunter,17,,,,1,17,,Athletics; Nature; Perception; Survival; Deception,Sharpshooter; Observant,140,17,10,20,14,10,16,10,True,10
120,priceless_wu,Human,Cleric,Arcana Domain,17,,,,1,17,,Athletics; Arcana; Religion; Insight; Perception; Intimidation,Magic Initiate; War Caster; Resilient,156,20,11,14,19,12,20,12,True,57
121,zen_gauss,Tiefling,Rogue,Arcane Trickster,17,,,,1,17,,Acrobatics; Sleight of Hand; Stealth; Perception; Deception; Persuasion,War Caster,123,14,8,19,10,18,8,18,False,0
122,hardcore_swanson,Minotaur,Fighter,Eldritch Knight,17,,,,1,17,LE,Athletics; Arcana; Perception; Intimidation; Persuasion,War Caster; Tough; Great Weapon Master; Heavy Armor Master; Sentinel,208,19,20,15,19,16,12,14,True,13
123,nostalgic_heyrovsky,Dragonborn,Sorcerer,Shadow Magic,17,,,,1,17,CG,Athletics; Arcana; Religion; Perception,Dragon Hide; Elemental Adept,117,18,13,18,13,12,8,20,True,25
124,trusting_stallman,Halfling,Bard,College of Swords,17,,,,1,17,,Acrobatics; Sleight of Hand; Deception; Performance; Persuasion,,178,23,14,20,18,19,16,20,True,23
125,flamboyant_kalam,Halfling,Rogue,Thief,17,,,,1,17,,Athletics; Acrobatics; Sleight of Hand; Stealth; Investigation; Animal Handling; Perception; Deception; Persuasion,Sentinel; Skilled,139,16,10,20,16,10,12,14,False,0
126,bold_euclid,Aasimar,Paladin,OathBreaker,17,,,,1,17,,Athletics; Religion; Insight; Intimidation,Tough,225,19,25,10,20,8,10,17,True,19
127,affectionate_beaver,Human,Paladin,OathBreaker,17,,,,1,17,,Athletics; Insight; Intimidation; Persuasion,Tough; Charger,206,20,22,15,16,13,13,16,True,10
128,condescending_buck,Tiefling,Sorcerer,Wild Magic,17,,,,1,17,,Arcana; History; Deception; Intimidation,Spell Sniper; War Caster,125,12,9,14,17,12,12,20,False,0
129,hungry_almeida,Human,Paladin,Oath of Redemption,17,,,,1,17,,Arcana; Religion; Insight; Intimidation,Savage Attacker,191,20,20,11,20,12,16,18,True,22
130,keen_saha,Human,Druid,Circle of the Moon,17,,,,1,17,,Athletics; Nature; Animal Handling; Survival,,166,14,11,10,18,14,20,16,False,0
131,stupefied_mclean,Human,Cleric,Life Domain,17,,,,1,17,,History; Religion; Medicine; Persuasion,,149,18,15,8,18,14,20,12,True,10
132,keen_chandrasekhar,Tiefling,Warlock,The Fiend,17,,,,1,17,CG,Arcana; Insight; Perception; Deception; Persuasion,Ritual Caster; War Caster,105,13,11,16,12,15,18,15,True,15
133,epic_bose,Half-Elf,Wizard,Lore Mastery,17,,,,1,17,,Athletics; Acrobatics; Arcana; History; Investigation; Insight,Keen Mind; Actor,87,12,8,15,12,21,11,21,False,0
134,fervent_goldberg,Human,Warlock,The Celestial,17,,,,1,17,CG,Sleight of Hand; Stealth; Arcana; Investigation; Religion; Insight; Deception; Persuasion,Skulker; Resilient; Prodigy; Mobile,125,16,12,18,15,14,14,20,True,27
135,competent_hamilton,Half-Orc,Fighter,Champion,17,,,,1,17,,Athletics; Insight; Perception; Survival; Intimidation,Great Weapon Master; Savage Attacker,174,16,20,12,18,12,13,10,False,0
136,laughing_kepler,,Cleric,Life Domain,16,,,,1,16,,Religion; Insight; Medicine; Intimidation,Resilient; Shadow Touched; War Caster; Magic Initiate,128,16,15,8,16,8,20,8,True,10
137,gallant_wing,Aasimar,Cleric,Life Domain,16,,,,1,16,,History; Religion; Animal Handling; Medicine; Persuasion,War Caster; Skill Expert; Healer,96,16,12,11,12,13,18,16,True,10
138,compassionate_einstein,Elf,Fighter,Arcane Archer,16,,,,1,16,,Acrobatics; Sleight of Hand; Stealth; Nature; Perception; Survival,Sharpshooter; Gunner; Sentinel; Alert,187,17,10,20,16,10,13,10,True,1
139,gallant_boyd,Kobold,Artificer,Battle Smith,16,,,,1,16,,Arcana; Investigation; Insight; Persuasion,Tough,147,16,6,18,14,18,12,10,True,8
140,reverent_dijkstra,Half-Orc,Bard,College of Whispers,16,,,,1,16,,Arcana; Religion; Insight; Perception; Deception; Intimidation,,118,11,12,11,14,12,16,18,True,1
141,recursing_ride,Elf,Barbarian,Path of the Ancestral Guardian,16,,,,1,16,,Athletics; Animal Handling; Insight; Perception; Survival,Great Weapon Master,155,15,20,14,17,11,8,14,False,0
142,kind_jang,Tabaxi,Rogue,Swashbuckler,16,,,,1,16,,Athletics; Acrobatics; Sleight of Hand; Stealth; Insight; Perception; Deception,,117,17,9,20,16,10,13,20,False,0
143,friendly_shaw,Elf,Druid,Circle of Dreams,16,,,,1,16,,Nature; Religion; Medicine; Perception; Survival,War Caster,134,15,12,17,17,11,20,14,True,1
144,fervent_vaughan,Goblin,Fighter,Arcane Archer,16,,,,1,16,,Acrobatics; Stealth; Nature; Perception; Deception,Crossbow Expert; Sharpshooter,141,16,10,20,16,17,6,7,False,0
145,dreamy_tharp,,Fighter,Champion,16,,,,1,16,,Athletics; Stealth; Survival; Deception; Intimidation,Charger,172,17,22,16,20,5,10,9,False,0
146,sad_haibt,Human,Bard,College of Valor,16,,,,1,16,,Acrobatics; Stealth; Perception; Deception; Performance; Persuasion,Crossbow Expert; Sharpshooter,218,17,23,18,14,10,12,20,True,30
